"Vuosi","Kantohinnat"
"1995",41.0941666666667
"1996",40.5641666666667
"1997",44.1858333333333
"1998",45.405
"1999",45.5308333333333
"2000",47.4316666666667
"2001",46.015
"2002",46.6366666666667
"2003",46.6533333333333
"2004",45.81
"2005",44.2758333333333
"2006",47.5375
"2007",64.3175
"2008",57.45
"2009",44.3191666666667
"2010",52.7083333333333
"2011",54.5825
"2012",53.3233333333333
"2013",55.3291666666667
"2014",55.33
"2015",54.3841666666667
"2016",53.21
"2017",54.8516666666667
"2018",60.09
"2019",56.3433333333333
"2020",54.6633333333333
